POLICY_NUM,FREE_LOOKS,POL_TYPE,FR_NUM,NO_NUM,FR_SERV_PERIOD,POLICY_AGE,INSURED_AGE,INSURED_STATE
00477994,N,Adjustable CompLife,095933    ,028  ,163,109,1105,FL
00477995,N,Single Premium Life,086995    ,028  ,206,106,1080,MD
00477996,N,Single Premium Life,011730    ,028  ,115,102,1068,DE
00477997,N,Single Premium Life,099992    ,028  ,#VALUE!,100,1060,PA
00477998,N,Estate CompLife,071540    ,028  ,256,104,1042,FL
00477999,N,90 Life,071540    ,028  ,256,103,1042,FL
00478000,N,Adjustable CompLife,012995    ,028  ,113,40,1041,VA
00478001,N,Extended Term,005951    ,028  ,89,20,980,FL
00478002,N,Joint/Survivorship CompLife,095610    ,028  ,165,101,1011,PA
00478003,N,Adjustable CompLife,029004    ,028  ,676,28,1010,PA
00478004,N,90 Life,094915    ,028  ,170,105,1005,CA
00478005,N,Estate CompLife,086622    ,028  ,208,50,1001,FL
00478006,N,Adjustable CompLife,012995    ,028  ,113,73,1000,MD
00478007,N,90 Life,094915    ,028  ,170,105,996,CA
00478008,N,90 Life,094915    ,028  ,170,105,996,CA
00478009,N,Adjustable CompLife,094915    ,028  ,170,50,996,CA
00478010,N,Adjustable CompLife,053439    ,028  ,400,113,983,IL
00478011,N,Adjustable CompLife,099429    ,028  ,150,91,981,MD
00478012,N,Joint/Survivorship CompLife,031745    ,028  ,632,108,979,MD
00478013,N,Adjustable CompLife,000003    ,028  ,#VALUE!,55,971,MD
00478014,N,Adjustable CompLife,047532    ,028  ,403,72,916,VA
00478015,N,Adjustable CompLife,077259    ,028  ,222,75,960,MD
00478016,N,Adjustable CompLife,002555    ,028  ,141,32,956,MD
00478017,N,Adjustable CompLife,099429    ,028  ,127,97,933,MD
00478018,N,Adjustable CompLife,012995    ,028  ,113,96,954,DE
00478019,N,Adjustable CompLife,099992    ,028  ,#VALUE!,114,954,PA
00478020,N,90 Life,073748    ,028  ,243,64,953,PA
00478021,N,Adjustable CompLife,012995    ,028  ,113,53,950,PA
00478022,N,90 Life,095346    ,028  ,167,46,950,MD
00478023,N,Adjustable CompLife,030771    ,028  ,649,109,950,MD
00478024,N,Single Premium Life,095346    ,028  ,167,84,948,MD
00478025,N,Adjustable CompLife,012995    ,028  ,113,96,948,DE
00478026,N,90 Life,005951    ,028  ,131,7,948,WV
00478027,N,Adjustable CompLife,095933    ,028  ,163,62,944,MD
00478028,N,Adjustable CompLife,095933    ,028  ,163,40,944,MD
00478029,N,Adjustable CompLife,095933    ,028  ,163,38,944,MD
00478030,N,Adjustable CompLife,095933    ,028  ,163,30,944,MD
00478031,N,Estate CompLife,073748    ,028  ,243,68,938,MD
00478032,N,90 Life,005951    ,028  ,131,122,935,MD
00478033,N,Single Premium Life,099992    ,028  ,#VALUE!,85,933,MD
00478034,N,Single Premium Life,099992    ,028  ,#VALUE!,81,933,MD
00478035,N,Adjustable CompLife,073748    ,028  ,243,86,930,MD
00478036,N,Adjustable CompLife,031013    ,028  ,644,82,928,MD
00478037,N,Joint/Survivorship CompLife,095933    ,028  ,163,63,928,MD
00478038,N,Adjustable CompLife,095933    ,028  ,163,13,928,MD
00478039,N,Adjustable CompLife,030771    ,028  ,649,44,925,MD
00478040,N,Level Term 10,062676    ,028  ,296,120,895,MD
00478041,N,Adjustable CompLife,005951    ,028  ,131,46,921,TX
00478042,N,Level Term 10,095933    ,028  ,133,119,891,MD
00478043,N,Estate CompLife,030771    ,028  ,649,15,920,MD
00478044,N,90 Life,095346    ,028  ,167,56,920,MD
00478045,N,Adjustable CompLife,032025    ,028  ,627,63,920,MD
00478046,N,Adjustable CompLife,077259    ,028  ,222,38,919,NY
00478047,N,90 Life,099992    ,028  ,#VALUE!,16,918,WV
00478048,N,Adjustable CompLife,094915    ,028  ,170,67,918,PA
00478049,N,90 Life,089855    ,028  ,180,82,902,IN
00478050,N,Adjustable CompLife,089855    ,028  ,180,76,902,IN
00478051,N,Term 10,062676    ,028  ,269,29,860,VA
00478052,N,Adjustable CompLife,062676    ,028  ,288,24,879,VA
00478053,N,Adjustable CompLife,062676    ,028  ,326,8,916,WV
00478054,N,Adjustable CompLife,089855    ,028  ,165,86,885,IN
00478055,N,Estate CompLife,053439    ,028  ,400,106,912,CO
00478056,N,90 Life,095610    ,028  ,129,82,875,PA
00478057,N,90 Life,001325    ,028  ,147,113,911,MD
00478058,N,Adjustable CompLife,001107    ,028  ,148,49,911,MD
00478059,N,Adjustable CompLife,062676    ,028  ,326,7,910,WV
00478060,N,Adjustable CompLife,005951    ,028  ,130,62,908,MD
00478061,N,Estate CompLife,086622    ,028  ,208,62,909,MD
00478062,N,Adjustable CompLife,086995    ,028  ,206,92,909,MD
00478063,N,Term 80,095933    ,028  ,110,107,856,MD
00478064,N,Adjustable CompLife,095933    ,028  ,163,120,908,MD
00478065,N,Adjustable CompLife,035063    ,028  ,579,50,908,MD
00478066,N,Adjustable CompLife,062676    ,028  ,326,13,908,WV
00478067,N,Adjustable CompLife,062676    ,028  ,302,15,885,MD
00478068,N,Adjustable CompLife,086995    ,028  ,206,62,907,MD
00478069,N,Joint/Survivorship CompLife,020624    ,028  ,92,37,907,WV
00478070,N,Level Term 10,030771    ,028  ,648,124,906,MD
00478071,N,Adjustable CompLife,077259    ,028  ,222,96,907,TN
00478072,N,Adjustable CompLife,035063    ,028  ,579,116,905,MD
00478073,N,Adjustable CompLife,099992    ,028  ,#VALUE!,79,905,MD
00478074,N,Estate CompLife,073748    ,028  ,243,120,905,MD
00478075,N,Estate CompLife,073748    ,028  ,243,118,905,MD
00478076,N,Adjustable CompLife,094915    ,028  ,170,83,905,PA
00478077,N,Adjustable CompLife,077259    ,028  ,222,100,905,FL
00478078,N,Estate CompLife,089855    ,028  ,195,124,904,MD
00478079,N,Estate CompLife,071540    ,028  ,256,119,904,NY
00478080,N,Adjustable CompLife,001795    ,028  ,145,101,904,SC
00478081,N,Adjustable CompLife,032025    ,028  ,581,47,857,PA
00478082,N,Adjustable CompLife,032025    ,028  ,581,20,857,PA
00478083,N,Adjustable CompLife,073748    ,028  ,243,91,903,MD
00478084,N,Adjustable CompLife,012995    ,028  ,75,31,865,MD
00478085,N,Adjustable CompLife,061473    ,028  ,334,32,903,PA
00478086,N,Adjustable CompLife,095933    ,028  ,163,100,903,MD
00478087,N,Adjustable CompLife,095933    ,028  ,163,4,903,MD
00478088,N,Adjustable CompLife,077259    ,028  ,222,77,902,NY
00478089,N,Term 80,002560    ,028  ,141,121,901,TX
00478090,N,Level Term 10,071540    ,028  ,256,143,901,WV
00478091,N,Estate CompLife,031745    ,028  ,632,57,899,DC
00478092,N,Adjustable CompLife,077259    ,028  ,222,51,899,MD
00478093,N,90 Life,031745    ,028  ,579,64,846,MD
00478094,N,Term 10,031745    ,028  ,576,31,843,MD
00478095,N,90 Life,031745    ,028  ,632,57,898,MD
00478096,N,Whole Life,031745    ,028  ,615,31,881,MD
00478097,N,Whole Life,031745    ,028  ,615,31,881,MD
00478098,N,90 Life,031745    ,028  ,619,20,885,MD
00478099,N,90 Life,031745    ,028  ,632,19,898,MD
00478100,N,90 Life,031745    ,028  ,632,6,898,MD
00478101,N,Adjustable CompLife,099992    ,028  ,#VALUE!,32,897,MD
00478102,N,Estate CompLife,073748    ,028  ,193,36,846,MD
00478103,N,Joint/Survivorship CompLife,001325    ,028  ,147,40,894,DE
00478104,N,Joint/Survivorship CompLife,016941    ,028  ,101,66,893,MD
00478105,N,Adjustable CompLife,062676    ,028  ,326,11,893,WV
00478106,N,Adjustable CompLife,015611    ,028  ,106,83,893,MD
00478107,N,Adjustable CompLife,035476    ,028  ,572,92,892,MD
00478108,N,Adjustable CompLife,002555    ,028  ,141,118,892,MD
00478109,N,90 Life,075985    ,028  ,231,21,891,MD
00478110,N,Adjustable CompLife,000005    ,028  ,#VALUE!,26,856,PA
00478111,N,Adjustable CompLife,0B4806    ,028  ,74,31,888,NJ
00478112,N,Adjustable CompLife,077259    ,028  ,222,115,888,MD
00478113,N,Adjustable CompLife,062676    ,028  ,326,13,888,PA
00478114,Y,Adjustable CompLife,073748    ,028  ,189,0,833,WV
00478115,N,Estate CompLife,089855    ,028  ,195,119,887,MD
00478116,N,Joint/Survivorship CompLife,001325    ,028  ,147,40,886,DE
00478117,N,Joint/Survivorship CompLife,001325    ,028  ,147,28,886,DE
00478118,N,Adjustable CompLife,062676    ,028  ,326,114,885,MD
00478119,N,90 Life,020624    ,028  ,92,68,885,PA
00478120,N,Adjustable CompLife,091202    ,028  ,187,110,885,MD
00478121,N,90 Life,090918    ,028  ,188,99,885,MD
00478122,N,Adjustable CompLife,090918    ,028  ,188,66,885,MD
00478123,N,Adjustable CompLife,094915    ,028  ,170,62,884,FL
00478124,N,Adjustable CompLife,077259    ,028  ,222,102,884,CA
00478125,N,Adjustable CompLife,099429    ,028  ,126,96,859,MD
00478126,N,90 Life,030771    ,028  ,649,104,884,MD
00478127,N,Level Term 10,001325    ,028  ,147,121,883,MD
00478128,N,Level Term 10,030771    ,028  ,603,109,836,MD
00478129,N,Level Term 10,086995    ,028  ,170,96,845,MD
00478130,N,Adjustable CompLife,086995    ,028  ,206,37,881,MD
00478131,N,Joint/Survivorship CompLife,011198    ,028  ,117,67,881,MD
00478132,N,Adjustable CompLife,030771    ,028  ,649,56,880,MD
00478133,N,Adjustable CompLife,062676    ,028  ,326,94,880,MD
00478134,N,Adjustable CompLife,077259    ,028  ,222,116,880,MD
00478135,N,Adjustable CompLife,099992    ,028  ,#VALUE!,88,880,PA
00478136,N,Adjustable CompLife,001795    ,028  ,145,86,880,MD
00478137,N,Estate CompLife,001795    ,028  ,145,60,880,MD
00478138,N,Adjustable CompLife,061473    ,028  ,334,32,879,PA
00478139,N,Adjustable CompLife,099992    ,028  ,#VALUE!,2,867,MD
00478140,N,Adjustable CompLife,017960    ,028  ,101,40,878,PA
00478141,N,Adjustable CompLife,086622    ,028  ,208,97,878,PA
00478142,N,90 Life,094915    ,028  ,170,74,878,PA
00478143,N,Adjustable CompLife,089855    ,028  ,195,47,877,DE
00478144,N,Level Term 10,031013    ,028  ,589,83,822,MD
00478145,N,90 Life,047532    ,028  ,449,80,877,FL
00478146,N,Adjustable CompLife,099429    ,028  ,150,68,876,VA
00478147,N,Adjustable CompLife,091202    ,028  ,187,78,875,MD
00478148,N,Level Term 10,001325    ,028  ,147,90,875,MD
00478149,N,Adjustable CompLife,001325    ,028  ,147,52,875,MD
00478150,N,Adjustable CompLife,099429    ,028  ,150,59,875,MD
00478151,N,Adjustable CompLife,0E0681    ,028  ,38,42,874,NY
00478152,N,90 Life,0B8818    ,028  ,65,76,874,DE
00478153,N,Level Term 20,095610    ,028  ,124,122,832,PA
00478154,N,Adjustable CompLife,095610    ,028  ,165,40,874,PA
00478155,N,Single Premium Life,071540    ,028  ,256,88,874,IA
00478156,N,Adjustable CompLife,0C4571    ,028  ,53,6,874,NY
00478157,N,Adjustable CompLife,054860    ,028  ,387,228,873,MD
00478158,N,Adjustable CompLife,031745    ,028  ,616,102,858,MD
00478159,N,Estate CompLife,031745    ,028  ,632,38,872,MD
00478160,N,Adjustable CompLife,000003    ,028  ,#VALUE!,85,872,MD
00478161,N,Adjustable CompLife,037772    ,028  ,546,111,872,PA
00478162,N,Adjustable CompLife,095933    ,028  ,163,108,871,MD
00478163,N,Estate CompLife,071540    ,028  ,256,120,870,MD
00478164,N,Adjustable CompLife,089855    ,028  ,195,23,870,MD
00478165,N,90 Life,095933    ,028  ,139,79,846,MD
00478166,N,Term 10,058682    ,028  ,355,51,870,VA
00478167,N,Adjustable CompLife,032025    ,028  ,627,49,869,MD
00478168,N,Estate CompLife,0B4806    ,028  ,74,101,869,MD
00478169,N,Adjustable CompLife,062676    ,028  ,326,78,868,MD
00478170,N,Adjustable CompLife,0B0441    ,028  ,83,72,868,PA
00478171,N,Level Term 20,030771    ,028  ,649,143,868,MD
00478172,N,Level Term 10,099992    ,028  ,#VALUE!,93,868,MD
00478173,N,Level Term 20,030770    ,028  ,603,111,821,MD
00478174,N,Level Term 10,089855    ,028  ,167,85,839,MD
00478175,N,Level Term 10,090918    ,028  ,188,125,866,VA
00478176,N,Adjustable CompLife,099429    ,028  ,150,111,866,VA
00478177,N,Adjustable CompLife,001325    ,028  ,147,121,866,MD
00478178,N,Level Term 10,001325    ,028  ,114,48,833,MD
00478179,N,Adjustable CompLife,001325    ,028  ,147,32,866,MD
00478180,N,Estate CompLife,071540    ,028  ,256,77,866,MD
00478181,N,Term 10,071540    ,028  ,256,72,866,MD
00478182,N,Adjustable CompLife,089855    ,028  ,195,2,865,MD
00478183,N,Single Premium Life,095610    ,028  ,165,103,865,PA
00478184,N,Adjustable CompLife,095610    ,028  ,165,121,865,PA
00478185,N,Adjustable CompLife,095610    ,028  ,165,90,865,PA
00478186,N,90 Life,005951    ,028  ,131,100,864,PA
00478187,N,Estate CompLife,054860    ,028  ,387,89,864,MD
00478188,N,Estate CompLife,054860    ,028  ,387,37,864,MD
00478189,N,Adjustable CompLife,0C7051    ,028  ,45,33,864,MD
00478190,N,Joint/Survivorship CompLife,030771    ,028  ,644,119,859,MD
00478191,N,Adjustable CompLife,099992    ,028  ,#VALUE!,78,864,MD
00478192,N,Level Term 10,062676    ,028  ,326,115,864,MD
00478193,N,Level Term 20,031013    ,028  ,644,138,863,MD
00478194,N,Adjustable CompLife,077259    ,028  ,222,30,863,MD
00478195,N,90 Life,001325    ,028  ,147,23,863,PA
00478196,N,Adjustable CompLife,005951    ,028  ,131,120,863,PA
00478197,N,Adjustable CompLife,017960    ,028  ,101,107,863,PA
00478198,N,Level Term 10,089855    ,028  ,195,102,863,MI
00478199,N,Level Term 10,089855    ,028  ,195,102,863,MI
00478200,N,Adjustable CompLife,095933    ,028  ,163,123,862,MD
00478201,N,Term 10,030771    ,028  ,628,70,842,MD
00478202,N,Level Term 20,071540    ,028  ,256,162,862,SC
00478203,N,Whole Life,099992    ,028  ,#VALUE!,71,833,PA
00478204,N,Estate CompLife,053439    ,028  ,400,110,862,GA
00478205,N,Adjustable CompLife,031013    ,028  ,644,91,862,MD
00478206,N,15 Pay Life,002555    ,028  ,141,48,862,MD
00478207,N,Adjustable CompLife,005951    ,028  ,131,114,862,SC
00478208,N,Level Term 10,002555    ,028  ,121,72,842,MD
00478209,N,Adjustable CompLife,002555    ,028  ,141,20,862,MD
00478210,N,Adjustable CompLife,094915    ,028  ,170,94,862,PA
00478211,N,Adjustable CompLife,086622    ,028  ,208,97,862,MD
00478212,N,Joint/Survivorship CompLife,031745    ,028  ,632,109,861,MD
00478213,N,Adjustable CompLife,035476    ,028  ,572,118,861,MD
00478214,N,Level Term 20,032025    ,028  ,627,135,861,MD
00478215,N,Adjustable CompLife,099429    ,028  ,150,80,860,MN
00478216,N,Level Term 20,065425    ,028  ,302,163,860,VA
00478217,N,Adjustable CompLife,099429    ,028  ,150,84,860,MD
00478218,N,Adjustable CompLife,001107    ,028  ,148,8,860,MD
00478219,N,Adjustable CompLife,002555    ,028  ,141,98,860,MD
00478220,N,Level Term 20,089855    ,028  ,155,119,820,MD
00478221,N,Adjustable CompLife,089855    ,028  ,195,38,859,MD
00478222,N,Estate CompLife,086622    ,028  ,208,123,859,MD
00478223,N,90 Life,031745    ,028  ,632,114,859,MD
00478224,N,Adjustable CompLife,077259    ,028  ,222,23,859,MD
00478225,N,Adjustable CompLife,077259    ,028  ,222,114,858,FL
00478226,N,Adjustable CompLife,099992    ,028  ,#VALUE!,75,858,NJ
00478227,N,Adjustable CompLife,099992    ,028  ,#VALUE!,90,858,MD
00478228,N,90 Life,099538    ,028  ,150,18,858,DE
00478229,N,Level Term 10,0B6362    ,028  ,43,120,832,MD
00478230,N,Adjustable CompLife,062676    ,028  ,326,114,858,MD
00478231,N,90 Life,099992    ,028  ,#VALUE!,101,848,PA
00478232,N,Adjustable CompLife,037772    ,028  ,546,314,858,PA
00478233,N,Level Term 20,061272    ,028  ,335,129,858,FL
00478234,N,Adjustable CompLife,0E4462    ,028  ,29,6,858,MD
00478235,N,Adjustable CompLife,0E4462    ,028  ,29,4,858,MD
00478236,N,Adjustable CompLife,099992    ,028  ,#VALUE!,106,857,MD
00478237,N,Level Term 20,053439    ,028  ,400,163,856,MD
00478238,N,90 Life,020624    ,028  ,92,75,856,WV
00478239,N,Adjustable CompLife,077259    ,028  ,222,21,856,FL
00478240,N,Level Term 10,058916    ,028  ,318,121,819,MD
00478241,N,Adjustable CompLife,065425    ,028  ,302,170,855,PA
00478242,N,Adjustable CompLife,065425    ,028  ,302,106,855,PA
00478243,N,Adjustable CompLife,017960    ,028  ,101,79,855,PA
00478244,N,Adjustable CompLife,037772    ,028  ,546,82,855,MD
00478245,N,Adjustable CompLife,032025    ,028  ,627,74,855,MD
00478246,N,Level Term 20,095610    ,028  ,122,120,812,PA
00478247,N,Level Term 20,071540    ,028  ,256,162,855,SC
00478248,N,Single Premium Life,095610    ,028  ,165,103,855,PA
00478249,N,Single Premium Life,095610    ,028  ,165,79,855,PA
