POLICY_NUM,SURRENDER,POL_TYPE,FR_NUM,NO_NUM,FR_SERV_PERIOD,POLICY_AGE,INSURED_AGE,INSURED_STATE
00000001,N,Estate CompLife,061432    ,008  ,334,22,1049,GA
00000002,N,Estate CompLife,076366    ,008  ,25,19,1045,GA
00000003,N,Single Premium Life,054071    ,008  ,393,85,1043,GA
00000004,N,Single Premium Life,078410    ,008  ,218,75,1043,GA
00000005,N,Estate CompLife,091246    ,008  ,136,0,955,GA
00000006,N,Adjustable CompLife,020610    ,008  ,92,61,996,GA
00000007,N,Adjustable CompLife,090152    ,008  ,193,109,995,GA
00000008,N,Estate CompLife,051803    ,008  ,412,58,989,GA
00000009,N,Estate CompLife,063120    ,008  ,320,98,985,GA
00000010,N,Estate CompLife,048135    ,008  ,444,103,984,GA
00000011,N,Single Premium Life,092611    ,008  ,182,60,974,GA
00000012,N,Term 10,066227    ,008  ,156,15,832,GA
00000013,N,Single Premium Life,059580    ,008  ,349,95,968,FL
00000014,N,Single Premium Life,051803    ,008  ,412,82,965,GA
00000015,N,Estate CompLife,061541    ,008  ,333,76,963,GA
00000016,N,Single Premium Life,051803    ,008  ,412,68,961,FL
00000017,N,Adjustable CompLife,078503    ,008  ,172,79,916,TN
00000018,N,Adjustable CompLife,078503    ,008  ,172,71,916,TN
00000019,N,Joint/Survivorship CompLife,061432    ,008  ,334,112,960,GA
00000020,N,Adjustable CompLife,074007    ,008  ,241,113,959,SC
00000021,N,Single Premium Life,051803    ,008  ,412,98,957,GA
00000022,N,Single Premium Life,051803    ,008  ,412,83,957,GA
00000023,N,90 Life,099992    ,008  ,#VALUE!,105,955,GA
00000024,N,Adjustable CompLife,049080    ,008  ,387,55,905,GA
00000025,N,Adjustable CompLife,049080    ,008  ,435,116,950,NC
00000026,N,Estate CompLife,060402    ,008  ,342,104,949,GA
00000027,N,Estate CompLife,060402    ,008  ,342,98,949,GA
00000028,N,Estate CompLife,054071    ,008  ,393,52,948,SC
00000029,N,Adjustable CompLife,0C1354    ,008  ,58,4,947,GA
00000030,N,Estate CompLife,051803    ,008  ,385,38,918,GA
00000031,N,Adjustable CompLife,016303    ,008  ,103,89,943,GA
00000032,N,Adjustable CompLife,020610    ,008  ,92,49,942,GA
00000033,Y,Adjustable CompLife,044817    ,008  ,463,107,933,OK
00000034,N,Adjustable CompLife,000004    ,008  ,#VALUE!,69,907,GA
00000035,N,Joint/Survivorship CompLife,051803    ,008  ,412,104,940,GA
00000036,N,Joint/Survivorship CompLife,051803    ,008  ,412,102,940,GA
00000037,N,Estate CompLife,048135    ,008  ,444,91,938,GA
00000038,Y,Estate CompLife,051803    ,008  ,381,49,906,NC
00000039,N,Joint/Survivorship CompLife,054622    ,008  ,389,71,935,SC
00000040,N,Single Premium Life,000004    ,008  ,#VALUE!,111,934,GA
00000041,N,Adjustable CompLife,000004    ,008  ,#VALUE!,107,934,GA
00000042,N,Adjustable CompLife,035624    ,008  ,572,65,934,FL
00000043,N,Joint/Survivorship CompLife,067102    ,008  ,285,92,933,GA
00000044,N,Adjustable CompLife,061476    ,008  ,334,90,932,TX
00000045,N,Adjustable CompLife,060652    ,008  ,340,96,930,GA
00000046,N,Adjustable CompLife,060652    ,008  ,340,88,930,GA
00000047,N,Adjustable CompLife,061476    ,008  ,334,71,930,GA
00000048,N,Single Premium Life,051803    ,008  ,412,112,928,GA
00000049,N,Adjustable CompLife,090152    ,008  ,193,83,928,GA
00000050,N,Level Term 10,035624    ,008  ,434,23,785,GA
00000051,N,Term 10,066227    ,008  ,284,113,914,GA
00000052,N,Single Premium Life,051803    ,008  ,412,112,923,GA
00000053,N,Whole Life,091246    ,008  ,187,106,922,GA
00000054,N,Estate CompLife,091246    ,008  ,187,61,922,GA
00000055,N,Adjustable CompLife,067815    ,008  ,279,86,921,GA
00000056,N,Adjustable CompLife,035624    ,008  ,572,90,921,GA
00000057,N,Estate CompLife,035624    ,008  ,570,100,919,GA
00000058,N,Adjustable CompLife,092498    ,008  ,182,115,920,GA
00000059,N,Level Term 10,036755    ,008  ,558,165,919,GA
00000060,N,90 Life,005566    ,008  ,133,66,919,GA
00000061,N,Adjustable CompLife,048555    ,008  ,439,5,919,GA
00000062,Y,Whole Life,070752    ,008  ,245,104,905,GA
00000063,Y,Estate CompLife,042132    ,008  ,332,77,906,GA
00000064,N,Adjustable CompLife,036755    ,008  ,558,83,917,GA
00000065,N,Adjustable CompLife,035624    ,008  ,572,82,916,TN
00000066,N,Estate CompLife,063583    ,008  ,317,95,916,GA
00000067,N,Adjustable CompLife,061541    ,008  ,333,60,915,GA
00000068,N,Level Term 10,053360    ,008  ,399,166,915,GA
00000069,N,Estate CompLife,076366    ,008  ,25,16,914,GA
00000070,N,Estate CompLife,066227    ,008  ,293,70,914,GA
00000071,N,Extended Term,099992    ,008  ,#VALUE!,0,871,GA
00000072,N,Adjustable CompLife,066227    ,008  ,293,111,912,GA
00000073,N,Adjustable CompLife,066227    ,008  ,293,88,912,GA
00000074,N,Adjustable CompLife,014969    ,008  ,108,20,912,GA
00000075,N,Adjustable CompLife,016303    ,008  ,103,77,912,GA
00000076,N,Term 10,061476    ,008  ,334,112,911,GA
00000077,N,Joint/Survivorship CompLife,059580    ,008  ,349,91,911,FL
00000078,N,Whole Life,092498    ,008  ,182,58,911,SC
00000079,N,Term 10,092498    ,008  ,127,24,855,GA
00000080,N,90 Life,092498    ,008  ,182,55,910,GA
00000081,N,90 Life,035624    ,008  ,572,102,910,GA
00000082,N,Estate CompLife,063583    ,008  ,317,64,910,GA
00000083,N,90 Life,066227    ,008  ,293,112,909,GA
00000084,N,Adjustable CompLife,087811    ,008  ,201,67,909,GA
00000085,N,Adjustable CompLife,035624    ,008  ,572,85,908,GA
00000086,N,Level Term 10,044817    ,008  ,450,119,887,GA
00000087,N,Adjustable CompLife,060402    ,008  ,342,94,908,GA
00000088,N,Level Term 10,035624    ,008  ,546,114,882,GA
00000089,N,Adjustable CompLife,048539    ,008  ,440,119,906,MS
00000090,N,Adjustable CompLife,087811    ,008  ,201,108,906,GA
00000091,N,Adjustable CompLife,078410    ,008  ,218,58,905,GA
00000092,N,Level Term 10,036755    ,008  ,558,162,905,GA
00000093,N,Adjustable CompLife,000004    ,008  ,#VALUE!,122,905,GA
00000094,N,Adjustable CompLife,000004    ,008  ,#VALUE!,121,905,GA
00000095,Y,Joint/Survivorship CompLife,090152    ,008  ,153,35,865,GA
00000096,N,Adjustable CompLife,061541    ,008  ,333,119,904,GA
00000097,N,Estate CompLife,007207    ,008  ,127,105,904,GA
00000098,N,Single Premium Life,035624    ,008  ,572,60,903,GA
00000099,N,90 Life,066227    ,008  ,293,113,902,GA
00000100,Y,Level Term 10,074007    ,008  ,236,121,896,MD
00000101,Y,Level Term 10,074007    ,008  ,236,117,896,MD
00000102,N,Adjustable CompLife,051803    ,008  ,412,112,901,GA
00000103,N,Level Term 10,060906    ,008  ,202,24,765,GA
00000104,N,Estate CompLife,035624    ,008  ,572,107,900,GA
00000105,N,Adjustable CompLife,077044    ,008  ,224,103,900,GA
00000106,N,Adjustable CompLife,077044    ,008  ,224,66,900,GA
00000107,N,90 Life,099992    ,008  ,#VALUE!,80,900,GA
00000108,N,90 Life,035624    ,008  ,572,109,900,FL
00000109,N,Estate CompLife,035624    ,008  ,572,102,900,GA
00000110,N,Joint/Survivorship CompLife,015073    ,008  ,107,100,900,GA
00000111,N,Single Premium Life,054071    ,008  ,393,118,898,SC
00000112,N,Level Term 10,099992    ,008  ,#VALUE!,131,897,GA
00000113,N,Level Term 10,035624    ,008  ,533,119,857,GA
00000114,N,Level Term 10,061541    ,008  ,297,120,860,GA
00000115,N,Term 10,074007    ,008  ,219,75,874,GA
00000116,N,Adjustable CompLife,015817    ,008  ,105,78,895,GA
00000117,N,Estate CompLife,061476    ,008  ,334,96,894,GA
00000118,N,Estate CompLife,061476    ,008  ,334,96,894,GA
00000119,N,Adjustable CompLife,005566    ,008  ,133,23,894,GA
00000120,N,Adjustable CompLife,092498    ,008  ,182,61,893,NY
00000121,N,90 Life,036755    ,008  ,558,22,893,GA
00000122,N,Level Term 10,019404    ,008  ,96,151,892,GA
00000123,N,Adjustable CompLife,053360    ,008  ,399,30,892,GA
00000124,N,Level Term 10,035624    ,008  ,572,106,891,GA
00000125,N,Single Premium Life,060652    ,008  ,340,83,891,GA
00000126,N,Adjustable CompLife,035624    ,008  ,572,102,891,FL
00000127,N,Level Term 10,090152    ,008  ,193,157,891,TN
00000128,N,Level Term 20,078410    ,008  ,173,118,845,GA
00000129,N,Adjustable CompLife,078410    ,008  ,218,104,890,GA
00000130,N,10 Pay Life,078410    ,008  ,218,44,890,GA
00000131,Y,Adjustable CompLife,000004    ,008  ,#VALUE!,66,853,OH
00000132,N,Adjustable CompLife,051803    ,008  ,412,104,890,GA
00000133,N,Single Premium Life,051803    ,008  ,412,89,890,GA
00000134,N,Single Premium Life,051803    ,008  ,412,63,890,GA
00000135,N,Adjustable CompLife,051803    ,008  ,412,25,890,GA
00000136,N,Adjustable CompLife,087811    ,008  ,201,49,889,GA
00000137,N,Level Term 10,090152    ,008  ,138,93,833,GA
00000138,N,Level Term 10,099992    ,008  ,#VALUE!,117,888,GA
00000139,N,Term 10,054622    ,008  ,371,96,870,KY
